VariableID,VariableName
555,testDocumentAuthor
556,DevLocation
1062,MPCAMDate
1067,SCPDocType
1029,MSPDdateTemplate
571,DevDestructionWarning
574,DevChooseWarehouse
1030,SCPImplementationDate
1087,DevCurentState
1088,PrjQEName
1089,PrjQEDate
67,Addative
68,Addative PN
580,DevRemarkPackingBaram
581,DevRemarkWarehouseBaram
1031,SCPDateTemplate
1090,PrjQEApproved
73,ApprovedTAPY
74,ApproveLOGISTICS
75,ApproveMOULD
585,DevPackingFlag
587,DevChooseTransSite
588,DevChooseBeginingSite
591,PplNameOfCustomer
595,PplRequiredSymbols
596,PplItemDescription
598,PplDateFormatProduction
600,PplDateFormatExpired
601,PplLotCustomer
90,ContextCategory
91,Copyright
602,PplElcamBarcode
603,PplCustemerBarcode
604,PplMarkingCatalogNumber
605,PplCaptionRequirements
606,PplRemark
97,DateApprovedLOGISTICS
99,DateApprovedMOULD
101,DateApprovedTAPY
104,DispConfig
618,PpMarkingCatalogNumber
107,Division
620,PpDateFormatProduction
621,PpDateFormatExpired
110,Document Number
622,PpLotElcam
624,PpNameOfCustomer
1130,TtName
626,PpCaptionRequirements
628,PpNumberOfCustomer
629,PpCustomerName
630,PplCustomerName
119,FileName
120,Glue
631,PplSimilarLabelItemNumber
632,PplCatalogNumberCodeOnTheLeftBelow
1140,GuyTest For PM Approval
1145,GuyTest Back to Author
125,Level
637,PpCatlogFinelProductNumber
638,PpLotCustomer
639,PplLotElcam
1043,ManualInstructionCategory
130,NameApprovedLOGISTICS
643,PplCatalogNumberOfClint
132,NameApprovedMOULD
644,PplCheckMovex
134,NameApprovedTAPY
1044,SCPDateCopy
1146,GuyTest Back to PM
1152,GuyTest Uncontrolled
1045,SCPITTitelName
1147,GuyTest Pending PM Approval
1162,Testdepartment
1163,TestProjectName
537,1_4_PM_Dalton_YesNo3.2
1046,SCPQATitelName
1148,GuyTest Under Revision
1164,MeshermentPrayurty
146,Scale
1166,MeasurementsApprvType
1047,SCPITApproverTitelName
1149,GuyTest Author Completed
150,Silicone
151,Smart Code
152,Smart Comments
663,PrjMarketing&BDVPApproved
664,PrjMarketing&BDVPDate
665,PrjMarketing&BDVPName
666,PrjSalesVPApproved
667,PrjSalesVPDate
668,PrjSalesVPName
669,PrjSalesApproved
160,Smart Product Group
161,Smart Project Code
670,PrjSalesDate
671,PrjSalesName
672,PpMovexId
165,Smart_File_Id
673,PpOptions
675,PplDescriptionOfChanges
1153,GuyTest Controlled
1195,MSPDDDate22
1203,IMMPartNumber
1204,IMMlLotAfterFix
184,Watermark
190,ApproveCOSTING
191,DateApprovedCOSTING
192,NameApprovedCOSTING
199,1_11_Description
718,prjTitel
207,ME_PartNumber
720,MRKCustomerNameNumberCountry2
1239,Test____
1240,MMMoldCategory
1061,MPCAMDateTemplate
1250,PCAWorkingCenter
1267,Weight
232,1_11_StageComment
745,MRKCustomerNameNumberCountry22
746,PpRelated
237,New Variable
751,WorkCenter
1269,Part_No
754,PpQuantityLevel1
755,PpQuantityLevel2
756,PpQuantityLevel3
757,PpQuantityLevel5
758,PpQuantityLevel4
247,Budget Code
759,PpQuantityLevel5Desc
760,PpQuantityLevel1Desc
761,PpQuantityLevel2Desc
762,PpQuantityLevel3Desc
763,PpQuantityLevel4Desc
1268,Part_Type
766,PpSize
1270,Finish_Treatment
1271,Design_Date
1272,Designed_By
1273,Drawn_By
1274,Drawn_Date
1275,Dwg_No
1276,Approved_By
1277,Approved_Date
775,RMTitle
1294,SMP-ClientRequirements
1295,Smart Design Ay
286,Check2
287,Check3
299,SQLDemo
300,PrcdrOneApprover
1338,121
315,prcdrAppendixNumber
830,MEIDUpdat Description
832,MEIDCounter
332,1_4_NameProject
333,1_4_NumberOfValidation
334,1_4_CatalogNumbers
335,1_4_SerialOfRawmaterials
336,1_4_Catalog PurchasingComponents
876,1_11_Doc_Num_copy
1388,injinjMaintenanceMachinesEquipmentApproveInjManagerDate
1389,injinjMaintenanceMachinesEquipmentApproveInjManagerName
1390,injinjMaintenanceMachinesEquipmentApproveInjManagerApprove
1391,injMaintenanceMachinesEquipmentName
1392,injMaintenanceMachinesEquipmentTecnitionDate
1393,injMaintenanceMachinesEquipmentApprove
378,1_4_QA_check1.1
894,PpChooseIsraeliCustomer
1409,SystemsChiefQARAApproved
1410,SystemsChiefQARADate
1411,SystemsChiefQARAName
388,1_4_QA_check1.2
389,1_4_QA_check1.3
390,1_4_QA_check1.4
391,1_4_QA_check1.5
392,1_4_QA_check2.1
393,1_4_QA_check2.2
901,PrcdrNameForTitel
395,1_4_PM_check1.1
396,1_4_PM_check1.2
397,1_4_PM_check2.1
398,1_4_PM_check2.2
399,1_4_PM_check2.3
400,1_4_PM_check3.1
401,1_4_PM_check3.2
402,C
912,PrcdrJobTitelAutor
1423,1.11NewItemPN
1425,1.11SimilarItemPN
1431,1.11NumberofProjectECOOther
410,1_4_PM_YesNo3.2
412,1_4_ME_Manager_YesNo1.2
413,1_4_ME_Manager_check1.1
414,1_4_ME_Manager_check1.2
422,1_4_Reg_Man_check1.1
423,1_4_Reg_Man_check1.2
424,1_4_Reg_Man_check1.3
425,1_4_Reg_Man_check1.4
426,1_4_Reg_Man_check1.5
427,1_4_Reg_Man_check1.6
1462,1.11YearNumber
960,prj document title
1472,boaz_matan_ME_specilist_approved
451,1_4_RDVPRemark
453,1_4_Baram
454,1_4_Dalton
455,1_4_CauseValidation
456,1_4_DaltonAndBaram
1480,boazMatanFileName
972,_user full name2
464,1_4_RDVP_check1
465,1_4_RDVP_check2
466,1_4_RDVP_check3
467,1_4_RDVP_check3.1
468,1_4_RDVP_check4
473,1_4_Reg_Man_YesNo1.8
987,MasterPlaneHide
1502,QEManagerName
1503,QEManagerDate
1504,QEManagerApproved
484,1_4_Logistic CoordinatorYesNo_1
498,ValNameOf ValidateExecutor
1022,MSPMChosee
